Center Flux EQW GFWHM

5007.05 2.40e-10 -8.1e4 2.84
5007.05 2.40e-10 -8.1e4 2.84
5007.05 2.40e-10 -8.1e4 2.84
mean = 5007.05
mean: 2.40e-10
[O III] - 5006.84

4959.05 7.35e-11 -2.5e4 2.838
4959.05 7.35e-11 -2.5e4 2.838
4959.05 7.35e-11 -2.5e4 2.838
mean = 4959.05
mean: 7.35e-11
[O III] - 4958.92

4861.03 1.85e-11 -6225. 2.919
4861.03 1.85e-11 -6225. 2.919
4861.03 1.85e-11 -6225. 2.919
mean = 4861.03
mean: 1.85e-11
H I - 4861.33

4739.31 1.36e-12 -546.8 3.116
4739.31 1.24e-12 -64.27 2.923
4739.31 1.23e-12 -58.99 2.908
mean = 4739.31
mean: 1.28e-12 $\pm$ 5.91e-14
[Ar IV] - 4740.20

4723.49 6.25e-13 -15.49 3.518
4723.46 6.81e-13 -20.92 3.676
4723.43 5.91e-13 -13.15 3.415
mean = 4723.46
mean: 6.32e-13 $\pm$ 3.71e-14
[Ne IV] - 4724.15

4710.29 1.27e-12 -27.47 3.104
4710.31 1.35e-12 -40.09 3.210
4710.28 1.31e-12 -32.41 3.150
mean = 4710.46 $\pm$ 0.01
mean: 1.31e-13 $\pm$ 3.27e-14
[Ne IV] - 4711.34

4684.41 1.05e-11 -198.5 2.881
4684.41 1.07e-11 -385.2 2.911
4684.41 1.06r-11 -262.7 2.896
mean = 4684.41
mean: 1.06e-11 $\pm$ 8.16e-14
He II - 4685.68

4363.23 2.34e-12 -17.36 2.854
4363.17 3.11e-12 -101.6 3.511
4363.19 3.23e-12 -199.1 3.613
mean = 4363.18 $\pm$ 0.01
mean: 2.89e-12 $\pm$ 3.94e-13
[O III] - 4363.21

4340.87 9.62e-12 -73.79 2.213
4340.87 9.35e-12 -55.76 3.154
4340.87 9.59e-12 -71.82 3.208
mean: 4340.87 $\pm$
mean: 9.51e-12 $\pm$ 1.21e-13
H I - 4340.47


