Center	Flux	EQW	GFWHM
6314.39	-5.90E-13	2.305	2.53
6314.2	-4.70E-13	1.647	1.933
6314.12	-2.30E-13	1.034	1.139
mean: -4.3E-13 +- 1.5E-13
			
6437.15	-2.50E-13	1.524	2.202
6436.48	-1.50E-13	0.8821	1.086
6446.06	-6.00E-12	23.46	27.97
mean: -2.13E-12 +- 2.73E-12

			
6434.11	2.22E-13	-2.013	1.706
6434.1	1.92E-13	-1.622	1.562
6434.09	2.77E-13	-2.853	1.964
mean: 2.303E-13 +- 3.520E-14
[Ar V] - 6435.11
			
6547.29	5.32E-13	-4.666	2.371
6547.24	4.86E-13	-3.939	2.271
6547.27	5.10E-13	-4.285	2.342
mean: 5.093E-13 +- 1.879E-14
[N II] - 6548.03
			
6561.96	2.29E-10	-112.8	2.636
6561.95	2.20E-10	-62.27	2.566
6561.95	2.37E-10	-320.6	2.701
mean: 2.287E-10 +- 6.944E-12
H I - 6562.82
			
6583.25	4.23E-13	-5.723	4.601
6583.3	4.22E-13	-5.765	4.531
6583.28	4.00E-13	-5.216	4.507
mean: 4.15E-13 +- 1.06E-14
[N II] - 6583.41
			
6677.55	1.08E-12	-12.92	2.476
6677.56	1.09E-12	-13.41	2.496
6677.55	1.10E-12	-13.66	2.505
mean: 1.09E-12 +- 8.16E-15
He I - 6678.15
			
6682.72	1.54E-13	-1.855	2.125
6682.4	2.88E-13	-4.82	2.989
6682.31	3.15E-13	-5.77	3.098
mean: 2.523E-13 +- 7.04E-14
He II - 6683.44

6716.02	3.25E-13	-5.436	2.908
6716.01	3.10E-13	-4.981	2.8
6716.02	3.57E-13	-6.492	3.098
mean: 3.31E-13 +- 1.96E-14
[S II] - 6716.47


6730.42	5.21E-13	-9.469	3.125
6730.43	5.48E-13	-10.65	3.235
6730.43	5.48E-13	-10.65	3.325
mean: 5.39E-13 +- 1.27E-14
[S II] - 6730.85
			
6779.18	2.25E-13	-4.413	1.508
6779.18	2.36E-13	-4.914	1.564
6779.18	0.01458		-4.367	1.503
mean: (I think this one got messed up)
C II - 6780.14
			
6795.26	0.02292	-6.203	3.627
6795.23	0.02328	-6.361	3.734
6795.26	0.0228	-6.179	3.642
mean: 0.0230 +- 0.0002

			
6884.16	0.005452	-2.021	1.396
6884.22	0.00464	-1.584	1.207
6884.22	0.004686	-1.607	1.22
mean: 0.00493 +- 0.00037
			
6890.6	0.02385	-8.107	3.668
6890.59	0.02402	-8.218	3.69
6890.6	0.02388	-8.129	3.672
mean: 0.0239 +- 7.4087E-5
