"ï»¿""Latest: Time (s)"""	Latest: Potential (V)
0	4.687118437
0.1	4.711538462
0.2	4.708485958
0.3	4.687118437
0.4	4.684065934
0.5	4.668803419
0.6	4.635225885
0.7	4.662698413
0.8	4.711538462
0.9	4.656593407
1	4.681013431
1.1	4.665750916
1.2	4.674908425
1.3	4.687118437
1.4	4.671855922
1.5	4.662698413
1.6	4.687118437
1.7	4.668803419
1.8	4.681013431
1.9	4.720695971
2	4.665750916
2.1	4.696275946
2.2	4.699328449
2.3	4.668803419
2.4	4.687118437
2.5	4.705433455
2.6	4.684065934
2.7	4.699328449
2.8	4.677960928
2.9	4.681013431
3	4.677960928
3.1	4.720695971
3.2	4.684065934
3.3	4.671855922
3.4	4.687118437
3.5	4.72985348
3.6	4.65964591
3.7	4.702380952
3.8	4.65964591
3.9	4.702380952
4	4.699328449
4.1	4.671855922
4.2	4.687118437
4.3	4.671855922
4.4	4.693223443
4.5	4.705433455
4.6	4.668803419
4.7	4.677960928
4.8	4.699328449
4.9	4.681013431
5	4.677960928
5.1	4.714590965
5.2	4.696275946
5.3	4.687118437
5.4	4.699328449
5.5	4.687118437
5.6	4.693223443
5.7	4.681013431
5.8	4.72985348
5.9	4.687118437
6	4.681013431
6.1	4.662698413
6.2	4.629120879
6.3	4.699328449
6.4	4.687118437
6.5	4.668803419
6.6	4.699328449
6.7	4.687118437
6.8	4.72985348
6.9	4.705433455
7	4.711538462
7.1	4.6504884
7.2	4.687118437
7.3	4.684065934
7.4	4.735958486
7.5	4.662698413
7.6	4.65964591
7.7	4.671855922
7.8	4.656593407
7.9	4.687118437
8	4.726800977
8.1	4.702380952
8.2	4.681013431
8.3	4.687118437
8.4	4.711538462
8.5	4.699328449
8.6	4.696275946
8.7	4.687118437
8.8	4.656593407
8.9	4.684065934
9	4.735958486
9.1	4.732905983
9.2	4.677960928
9.3	4.681013431
9.4	4.674908425
9.5	4.6504884
9.6	4.763431013
9.7	4.684065934
9.8	4.693223443
9.9	4.662698413
10	4.711538462
10.1	4.681013431
10.2	4.699328449
10.3	4.668803419
10.4	4.674908425
10.5	4.705433455
10.6	4.72985348
10.7	4.702380952
10.8	4.674908425
10.9	4.668803419
11	4.714590965
11.1	4.677960928
11.2	4.684065934
11.3	4.677960928
11.4	4.671855922
11.5	4.632173382
11.6	4.681013431
11.7	4.623015873
11.8	4.65964591
11.9	4.699328449
12	4.72985348
12.1	4.702380952
12.2	4.671855922
12.3	4.65964591
12.4	4.668803419
12.5	4.629120879
12.6	4.629120879
12.7	4.598595849
12.8	4.635225885
12.9	4.607753358
13	4.595543346
13.1	4.598595849
13.2	4.626068376
13.3	4.604700855
13.4	4.607753358
13.5	4.626068376
13.6	4.623015873
13.7	4.635225885
13.8	4.592490842
13.9	4.607753358
14	4.58028083
14.1	4.583333333
14.2	4.598595849
14.3	4.513125763
14.4	4.47954823
14.5	4.442918193
14.6	4.406288156
14.7	4.366605617
14.8	4.317765568
14.9	4.302503053
15	4.241452991
15.1	4.18040293
15.2	4.140720391
15.3	4.061355311
15.4	3.978937729
15.5	3.966727717
15.6	3.911782662
15.7	3.756105006
15.8	3.701159951
15.9	3.615689866
16	3.606532357
16.1	3.505799756
16.2	3.295177045
16.3	3.270757021
16.4	3.166971917
16.5	3.014346764
16.6	2.913614164
16.7	2.8495116
16.8	2.712148962
16.9	2.528998779
17	2.324481074
17.1	2.214590965
17.2	2.19017094
17.3	2.022283272
17.4	1.823870574
17.5	1.836080586
17.6	1.622405372
17.7	1.436202686
17.8	1.292735043
17.9	1.50030525
18	1.472832723
18.1	1.329365079
18.2	1.338522589
18.3	1.350732601
18.4	1.301892552
18.5	1.604090354
18.6	1.573565324
18.7	1.53998779
18.8	1.799450549
18.9	1.958180708
19	2.000915751
19.1	2.30006105
19.2	2.391636142
19.3	2.528998779
19.4	2.690781441
19.5	2.834249084
19.6	2.968559219
19.7	3.093711844
19.8	3.224969475
19.9	3.362332112
20	3.450854701
20.1	3.505799756
20.2	3.579059829
20.3	3.603479853
20.4	3.746947497
20.5	3.786630037
20.6	3.905677656
20.7	3.887362637
20.8	3.957570208
20.9	3.985042735
21	4.122405372
21.1	4.152930403
21.2	4.1498779
21.3	4.265873016
21.4	4.302503053
21.5	4.323870574
21.6	4.348290598
21.7	4.40018315
21.8	4.406288156
21.9	4.458180708
22	4.476495727
22.1	4.51007326
22.2	4.558913309
22.3	4.525335775
22.4	4.5497558
22.5	4.598595849
22.6	4.561965812
22.7	4.540598291
22.8	4.586385836
22.9	4.604700855
23	4.568070818
23.1	4.595543346
23.2	4.598595849
23.3	4.565018315
23.4	4.565018315
23.5	4.604700855
23.6	4.598595849
23.7	4.604700855
23.8	4.601648352
23.9	4.595543346
24	4.598595849
24.1	4.635225885
24.2	4.583333333
24.3	4.604700855
24.4	4.638278388
24.5	4.6504884
24.6	4.626068376
24.7	4.623015873
24.8	4.638278388
24.9	4.638278388
25	4.623015873
25.1	4.684065934
25.2	4.65964591
25.3	4.647435897
25.4	4.653540904
25.5	4.641330891
25.6	4.687118437
25.7	4.623015873
25.8	4.623015873
25.9	4.671855922
26	4.6504884
26.1	4.687118437
26.2	4.702380952
26.3	4.647435897
26.4	4.662698413
26.5	4.653540904
26.6	4.586385836
26.7	4.656593407
26.8	4.626068376
26.9	4.644383394
27	4.632173382
27.1	4.629120879
27.2	4.638278388
27.3	4.665750916
27.4	4.665750916
27.5	4.638278388
27.6	4.662698413
27.7	4.647435897
27.8	4.662698413
27.9	4.665750916
28	4.668803419
28.1	4.662698413
28.2	4.638278388
28.3	4.684065934
28.4	4.668803419
28.5	4.641330891
28.6	4.638278388
28.7	4.656593407
28.8	4.668803419
28.9	4.647435897
29	4.653540904
29.1	4.616910867
29.2	4.638278388
29.3	4.681013431
29.4	4.644383394
29.5	4.6504884
29.6	4.638278388
29.7	4.647435897
29.8	4.647435897
29.9	4.681013431
30	4.61996337
30.1	4.638278388
30.2	4.638278388
30.3	4.635225885
30.4	4.632173382
30.5	4.629120879
30.6	4.6504884
30.7	4.635225885
30.8	4.662698413
30.9	4.699328449
31	4.696275946
31.1	4.6504884
31.2	4.638278388
31.3	4.632173382
31.4	4.671855922
31.5	4.647435897
31.6	4.635225885
31.7	4.613858364
31.8	4.635225885
31.9	4.607753358
32	4.616910867
32.1	4.626068376
32.2	4.61996337
32.3	4.635225885
32.4	4.684065934
32.5	4.61996337
32.6	4.65964591
32.7	4.684065934
32.8	4.616910867
32.9	4.674908425
33	4.613858364
33.1	4.601648352
33.2	4.6504884
33.3	4.644383394
33.4	4.58028083
33.5	4.638278388
33.6	4.638278388
33.7	4.647435897
33.8	4.632173382
33.9	4.653540904
34	4.6504884
