Latest: Time (s)	Latest: Potential (V)
0	4.070512821
0.1	4.085775336
0.2	4.122405372
0.3	4.009462759
0.4	4.113247863
0.5	4.125457875
0.6	4.082722833
0.7	4.076617827
0.8	4.03998779
0.9	4.088827839
1	4.11019536
1.1	4.119352869
1.2	4.088827839
1.3	4.085775336
1.4	4.088827839
1.5	4.104090354
1.6	4.101037851
1.7	4.064407814
1.8	4.088827839
1.9	4.067460317
2	4.055250305
2.1	4.088827839
2.2	4.043040293
2.3	4.085775336
2.4	4.088827839
2.5	4.116300366
2.6	4.131562882
2.7	4.073565324
2.8	4.076617827
2.9	4.085775336
3	4.085775336
3.1	4.113247863
3.2	4.073565324
3.3	4.091880342
3.4	4.097985348
3.5	4.088827839
3.6	4.113247863
3.7	4.152930403
3.8	4.137667888
3.9	4.116300366
4	4.07967033
4.1	4.076617827
4.2	4.125457875
4.3	4.058302808
4.4	4.088827839
4.5	4.036935287
4.6	4.11019536
4.7	4.094932845
4.8	4.125457875
4.9	4.137667888
5	4.104090354
5.1	4.137667888
5.2	4.116300366
5.3	4.134615385
5.4	4.07967033
5.5	4.085775336
5.6	4.128510379
5.7	4.07967033
5.8	4.073565324
5.9	4.088827839
6	4.11019536
6.1	4.101037851
6.2	4.091880342
6.3	4.073565324
6.4	4.073565324
6.5	4.104090354
6.6	4.036935287
6.7	4.143772894
6.8	4.070512821
6.9	4.055250305
7	4.116300366
7.1	4.082722833
7.2	4.113247863
7.3	4.107142857
7.4	4.076617827
7.5	4.085775336
7.6	4.113247863
7.7	4.122405372
7.8	4.097985348
7.9	4.113247863
8	4.064407814
8.1	4.116300366
8.2	4.107142857
8.3	4.11019536
8.4	4.058302808
8.5	4.128510379
8.6	4.094932845
8.7	4.097985348
8.8	4.140720391
8.9	4.122405372
9	4.101037851
9.1	4.070512821
9.2	4.119352869
9.3	4.097985348
9.4	4.119352869
9.5	4.076617827
9.6	4.143772894
9.7	4.11019536
9.8	4.122405372
9.9	4.085775336
10	4.076617827
10.1	4.11019536
10.2	4.122405372
10.3	4.073565324
10.4	4.097985348
10.5	4.030830281
10.6	4.146825397
10.7	4.131562882
10.8	4.097985348
10.9	4.097985348
11	4.091880342
11.1	4.107142857
11.2	4.125457875
11.3	4.058302808
11.4	4.027777778
11.5	4.113247863
11.6	4.049145299
11.7	4.033882784
11.8	4.155982906
11.9	4.131562882
12	4.094932845
12.1	4.11019536
12.2	4.088827839
12.3	4.049145299
12.4	4.082722833
12.5	4.11019536
12.6	4.030830281
12.7	4.116300366
12.8	4.122405372
12.9	4.021672772
13	4.055250305
13.1	4.091880342
13.2	4.097985348
13.3	4.085775336
13.4	4.082722833
13.5	4.085775336
13.6	4.088827839
13.7	4.076617827
13.8	4.076617827
13.9	4.061355311
14	4.125457875
14.1	4.131562882
14.2	4.061355311
14.3	4.094932845
14.4	4.052197802
14.5	4.088827839
14.6	4.024725275
14.7	4.094932845
14.8	4.097985348
14.9	4.076617827
15	4.043040293
15.1	4.131562882
15.2	4.101037851
15.3	4.043040293
15.4	4.082722833
15.5	4.064407814
15.6	4.073565324
15.7	4.07967033
15.8	4.122405372
15.9	4.088827839
16	4.064407814
16.1	4.088827839
16.2	4.070512821
16.3	4.125457875
16.4	4.085775336
16.5	4.052197802
16.6	4.061355311
16.7	4.043040293
16.8	4.088827839
16.9	4.067460317
17	4.070512821
17.1	4.043040293
17.2	4.033882784
17.3	4.043040293
17.4	4.009462759
17.5	3.988095238
17.6	3.96978022
17.7	4.058302808
17.8	3.985042735
17.9	4.033882784
18	4.009462759
18.1	3.997252747
18.2	3.942307692
18.3	3.954517705
18.4	3.911782662
18.5	3.807997558
18.6	3.862942613
18.7	3.844627595
18.8	3.801892552
18.9	3.829365079
19	3.835470085
19.1	3.780525031
19.2	3.792735043
19.3	3.783577534
19.4	3.740842491
19.5	3.618742369
19.6	3.588217338
19.7	3.521062271
19.8	3.585164835
19.9	3.560744811
20	3.563797314
20.1	3.557692308
20.2	3.634004884
20.3	3.630952381
20.4	3.606532357
20.5	3.469169719
20.6	3.487484737
20.7	3.313492063
20.8	3.243284493
20.9	3.246336996
21	3.160866911
21.1	3.252442002
21.2	3.301282051
21.3	3.405067155
21.4	3.374542125
21.5	3.322649573
21.6	3.380647131
21.7	3.212759463
21.8	3.215811966
21.9	3.072344322
22	2.965506716
22.1	2.846459096
22.2	2.959401709
22.3	3.06013431
22.4	3.108974359
22.5	3.221916972
22.6	3.273809524
22.7	3.203601954
22.8	3.142551893
22.9	3.069291819
23	2.910561661
23.1	2.870879121
23.2	2.757936508
23.3	2.718253968
23.4	2.815934066
23.5	2.974664225
23.6	3.078449328
23.7	3.112026862
23.8	3.246336996
23.9	3.163919414
24	3.13034188
24.1	3.017399267
24.2	2.898351648
24.3	2.66025641
24.4	2.736568987
24.5	2.73962149
24.6	2.794566545
24.7	3.035714286
24.8	3.20970696
24.9	3.331807082
25	3.286019536
25.1	3.334859585
25.2	3.157814408
25.3	3.014346764
25.4	2.895299145
25.5	2.773199023
25.6	2.776251526
25.7	2.910561661
25.8	2.889194139
25.9	3.105921856
26	3.228021978
26.1	3.289072039
26.2	3.38980464
26.3	3.331807082
26.4	3.234126984
26.5	3.115079365
26.6	3.032661783
26.7	2.999084249
26.8	2.876984127
26.9	3.041819292
27	3.02045177
27.1	3.151709402
27.2	3.286019536
27.3	3.365384615
27.4	3.368437118
27.5	3.450854701
27.6	3.353174603
27.7	3.258547009
27.8	3.24023199
27.9	3.157814408
28	3.105921856
28.1	3.118131868
28.2	3.276862027
28.3	3.264652015
28.4	3.371489621
28.5	3.441697192
28.6	3.444749695
28.7	3.475274725
28.8	3.447802198
28.9	3.322649573
29	3.392857143
29.1	3.417277167
29.2	3.359279609
29.3	3.432539683
29.4	3.46001221
29.5	3.533272283
29.6	3.533272283
29.7	3.603479853
29.8	3.630952381
29.9	3.554639805
30	3.56990232
30.1	3.588217338
30.2	3.576007326
30.3	3.582112332
30.4	3.60958486
30.5	3.661477411
30.6	3.737789988
30.7	3.731684982
30.8	3.759157509
30.9	3.740842491
31	3.771367521
31.1	3.817155067
31.2	3.768315018
31.3	3.762210012
31.4	3.759157509
31.5	3.737789988
31.6	3.908730159
31.7	3.881257631
31.8	3.939255189
31.9	3.948412698
32	3.893467643
32.1	3.93009768
32.2	3.991147741
32.3	3.933150183
32.4	3.963675214
32.5	3.914835165
32.6	3.951465201
32.7	3.981990232
32.8	4.003357753
32.9	3.939255189
33	3.939255189
33.1	4.024725275
33.2	4.082722833
33.3	4.03998779
33.4	4.064407814
33.5	4.052197802
33.6	3.985042735
33.7	4.015567766
33.8	4.012515263
33.9	4.00030525
34	4.012515263
34.1	4.003357753
34.2	4.070512821
34.3	4.055250305
34.4	4.073565324
34.5	4.049145299
34.6	4.061355311
34.7	4.006410256
34.8	4.094932845
34.9	4.076617827
35	4.116300366
35.1	4.07967033
35.2	4.049145299
35.3	4.064407814
35.4	4.073565324
35.5	4.107142857
35.6	4.125457875
35.7	4.021672772
35.8	4.134615385
35.9	4.073565324
36	4.125457875
36.1	4.094932845
36.2	4.094932845
36.3	4.082722833
36.4	4.055250305
36.5	4.11019536
36.6	4.113247863
36.7	4.094932845
36.8	4.113247863
36.9	4.088827839
37	4.107142857
37.1	4.073565324
37.2	4.085775336
37.3	4.104090354
37.4	4.091880342
37.5	4.073565324
37.6	4.067460317
37.7	4.094932845
37.8	4.119352869
37.9	4.070512821
38	4.067460317
38.1	4.085775336
38.2	4.03998779
38.3	4.052197802
38.4	4.088827839
38.5	4.064407814
38.6	4.094932845
38.7	4.07967033
38.8	4.076617827
