"ï»¿""Latest: Time (s)"""	Latest: Potential (V)
0	3.957570208
0.1	4.003357753
0.2	3.957570208
0.3	4.006410256
0.4	3.957570208
0.5	3.991147741
0.6	3.920940171
0.7	3.936202686
0.8	4.027777778
0.9	3.923992674
1	4.00030525
1.1	3.942307692
1.2	4.009462759
1.3	3.917887668
1.4	3.923992674
1.5	3.954517705
1.6	3.948412698
1.7	3.954517705
1.8	3.93009768
1.9	3.878205128
2	3.954517705
2.1	3.96978022
2.2	3.948412698
2.3	3.975885226
2.4	3.994200244
2.5	3.978937729
2.6	3.991147741
2.7	3.939255189
2.8	3.893467643
2.9	3.948412698
3	4.00030525
3.1	3.951465201
3.2	3.975885226
3.3	3.957570208
3.4	3.988095238
3.5	3.978937729
3.6	3.945360195
3.7	3.887362637
3.8	3.991147741
3.9	3.96978022
4	3.954517705
4.1	3.978937729
4.2	4.003357753
4.3	3.945360195
4.4	3.923992674
4.5	3.972832723
4.6	3.981990232
4.7	3.951465201
4.8	3.985042735
4.9	3.966727717
5	3.994200244
5.1	3.972832723
5.2	3.994200244
5.3	3.985042735
5.4	3.93009768
5.5	3.96978022
5.6	3.994200244
5.7	3.957570208
5.8	3.997252747
5.9	3.966727717
6	3.991147741
6.1	3.936202686
6.2	3.945360195
6.3	3.981990232
6.4	3.978937729
6.5	4.012515263
6.6	3.908730159
6.7	3.93009768
6.8	3.960622711
6.9	3.920940171
7	3.988095238
7.1	3.945360195
7.2	3.93009768
7.3	4.003357753
7.4	3.893467643
7.5	3.936202686
7.6	3.942307692
7.7	3.978937729
7.8	3.988095238
7.9	3.960622711
8	3.975885226
8.1	3.988095238
8.2	3.994200244
8.3	3.927045177
8.4	3.991147741
8.5	3.985042735
8.6	4.018620269
8.7	4.003357753
8.8	4.046092796
8.9	4.027777778
9	3.994200244
9.1	3.936202686
9.2	4.012515263
9.3	3.957570208
9.4	3.978937729
9.5	3.991147741
9.6	3.954517705
9.7	3.951465201
9.8	3.978937729
9.9	3.978937729
10	3.978937729
10.1	3.951465201
10.2	3.960622711
10.3	3.945360195
10.4	3.975885226
10.5	3.985042735
10.6	3.978937729
10.7	3.978937729
10.8	3.920940171
10.9	3.951465201
11	3.951465201
11.1	3.960622711
11.2	3.963675214
11.3	4.006410256
11.4	4.00030525
11.5	3.954517705
11.6	3.954517705
11.7	3.985042735
11.8	3.975885226
11.9	3.945360195
12	3.948412698
12.1	3.939255189
12.2	4.021672772
12.3	3.908730159
12.4	3.942307692
12.5	3.945360195
12.6	3.908730159
12.7	3.978937729
12.8	3.985042735
12.9	4.018620269
13	3.911782662
13.1	3.939255189
13.2	3.89957265
13.3	3.96978022
13.4	3.975885226
13.5	3.997252747
13.6	3.994200244
13.7	3.942307692
13.8	4.027777778
13.9	3.948412698
14	3.920940171
14.1	3.933150183
14.2	3.991147741
14.3	3.960622711
14.4	3.985042735
14.5	3.960622711
14.6	3.945360195
14.7	3.945360195
14.8	3.905677656
14.9	3.997252747
15	3.978937729
15.1	3.972832723
15.2	3.972832723
15.3	3.991147741
15.4	3.939255189
15.5	3.96978022
15.6	3.963675214
15.7	3.966727717
15.8	3.972832723
15.9	3.978937729
16	3.966727717
16.1	3.936202686
16.2	3.93009768
16.3	3.936202686
16.4	4.00030525
16.5	3.978937729
16.6	3.933150183
16.7	3.972832723
16.8	3.948412698
16.9	3.862942613
17	3.942307692
17.1	3.96978022
17.2	3.972832723
17.3	3.923992674
17.4	3.966727717
17.5	3.957570208
17.6	3.896520147
17.7	3.957570208
17.8	3.911782662
17.9	3.981990232
18	3.875152625
18.1	3.869047619
18.2	3.933150183
18.3	3.911782662
18.4	3.939255189
18.5	3.957570208
18.6	3.933150183
18.7	3.963675214
18.8	3.942307692
18.9	3.927045177
19	3.881257631
19.1	3.954517705
19.2	3.908730159
19.3	3.951465201
19.4	3.945360195
19.5	3.875152625
19.6	3.865995116
19.7	3.920940171
19.8	3.823260073
19.9	3.862942613
20	3.865995116
20.1	3.811050061
20.2	3.832417582
20.3	3.856837607
20.4	3.795787546
20.5	3.78968254
20.6	3.792735043
20.7	3.807997558
20.8	3.817155067
20.9	3.716422466
21	3.630952381
21.1	3.740842491
21.2	3.71031746
21.3	3.618742369
21.4	3.667582418
21.5	3.597374847
21.6	3.637057387
21.7	3.643162393
21.8	3.67979243
21.9	3.621794872
22	3.646214896
22.1	3.536324786
22.2	3.505799756
22.3	3.508852259
22.4	3.502747253
22.5	3.533272283
22.6	3.423382173
22.7	3.505799756
22.8	3.505799756
22.9	3.456959707
23	3.521062271
23.1	3.502747253
23.2	3.478327228
23.3	3.402014652
23.4	3.331807082
23.5	3.398962149
23.6	3.377594628
23.7	3.453907204
23.8	3.435592186
23.9	3.386752137
24	3.270757021
24.1	3.377594628
24.2	3.402014652
24.3	3.456959707
24.4	3.368437118
24.5	3.411172161
24.6	3.301282051
24.7	3.334859585
24.8	3.405067155
24.9	3.356227106
25	3.383699634
25.1	3.322649573
25.2	3.261599512
25.3	3.267704518
25.4	3.359279609
25.5	3.417277167
25.6	3.359279609
25.7	3.218864469
25.8	3.215811966
25.9	3.289072039
26	3.292124542
26.1	3.395909646
26.2	3.334859585
26.3	3.344017094
26.4	3.17002442
26.5	3.337912088
26.6	3.38980464
26.7	3.429487179
26.8	3.356227106
26.9	3.344017094
27	3.276862027
27.1	3.289072039
27.2	3.276862027
27.3	3.374542125
27.4	3.365384615
27.5	3.392857143
27.6	3.353174603
27.7	3.273809524
27.8	3.380647131
27.9	3.402014652
28	3.377594628
28.1	3.383699634
28.2	3.362332112
28.3	3.304334554
28.4	3.344017094
28.5	3.417277167
28.6	3.423382173
28.7	3.402014652
28.8	3.423382173
28.9	3.356227106
29	3.402014652
29.1	3.450854701
29.2	3.505799756
29.3	3.402014652
29.4	3.478327228
29.5	3.429487179
29.6	3.493589744
29.7	3.447802198
29.8	3.490537241
29.9	3.472222222
30	3.502747253
30.1	3.576007326
30.2	3.469169719
30.3	3.487484737
30.4	3.627899878
30.5	3.576007326
30.6	3.481379731
30.7	3.554639805
30.8	3.579059829
30.9	3.521062271
31	3.585164835
31.1	3.67979243
31.2	3.634004884
31.3	3.60042735
31.4	3.707264957
31.5	3.655372405
31.6	3.743894994
31.7	3.67979243
31.8	3.746947497
31.9	3.756105006
32	3.731684982
32.1	3.795787546
32.2	3.771367521
32.3	3.765262515
32.4	3.814102564
32.5	3.798840049
32.6	3.817155067
32.7	3.829365079
32.8	3.777472527
32.9	3.759157509
33	3.780525031
33.1	3.838522589
33.2	3.85989011
33.3	3.917887668
33.4	3.911782662
33.5	3.884310134
33.6	3.853785104
33.7	3.875152625
33.8	3.923992674
33.9	3.914835165
34	3.908730159
34.1	3.872100122
34.2	3.893467643
34.3	3.917887668
34.4	3.902625153
34.5	3.951465201
34.6	3.942307692
34.7	3.89957265
34.8	3.951465201
34.9	3.927045177
35	3.911782662
35.1	3.93009768
35.2	3.89957265
35.3	3.85989011
35.4	3.954517705
35.5	4.006410256
35.6	3.985042735
35.7	3.933150183
35.8	3.963675214
35.9	3.972832723
36	3.978937729
36.1	3.957570208
36.2	3.975885226
36.3	3.988095238
36.4	3.96978022
36.5	3.951465201
36.6	4.00030525
36.7	3.975885226
36.8	3.939255189
36.9	3.997252747
37	3.978937729
37.1	3.997252747
37.2	3.914835165
37.3	4.009462759
37.4	3.948412698
37.5	3.939255189
37.6	3.972832723
37.7	3.985042735
37.8	4.012515263
37.9	3.966727717
38	3.942307692
38.1	3.991147741
38.2	3.985042735
38.3	4.00030525
38.4	3.966727717
38.5	3.988095238
38.6	3.939255189
38.7	4.021672772
