Latest: Time (s)	Latest: Potential (V)
0	3.960622711
0.1	3.997252747
0.2	3.966727717
0.3	4.015567766
0.4	3.972832723
0.5	3.939255189
0.6	3.942307692
0.7	3.960622711
0.8	3.93009768
0.9	3.966727717
1	3.945360195
1.1	3.957570208
1.2	3.945360195
1.3	3.978937729
1.4	3.948412698
1.5	3.911782662
1.6	3.957570208
1.7	3.975885226
1.8	4.018620269
1.9	3.972832723
2	3.981990232
2.1	3.985042735
2.2	3.985042735
2.3	3.991147741
2.4	3.981990232
2.5	3.991147741
2.6	3.972832723
2.7	4.027777778
2.8	4.00030525
2.9	3.985042735
3	3.988095238
3.1	3.978937729
3.2	3.927045177
3.3	3.988095238
3.4	4.00030525
3.5	3.966727717
3.6	3.972832723
3.7	3.957570208
3.8	4.009462759
3.9	3.957570208
4	3.997252747
4.1	3.936202686
4.2	3.963675214
4.3	3.997252747
4.4	4.006410256
4.5	3.945360195
4.6	3.966727717
4.7	4.018620269
4.8	3.975885226
4.9	3.994200244
5	3.942307692
5.1	4.006410256
5.2	3.966727717
5.3	3.988095238
5.4	3.972832723
5.5	4.033882784
5.6	3.966727717
5.7	3.978937729
5.8	3.957570208
5.9	4.006410256
6	4.00030525
6.1	4.00030525
6.2	3.985042735
6.3	3.981990232
6.4	3.957570208
6.5	3.914835165
6.6	3.991147741
6.7	3.978937729
6.8	4.00030525
6.9	4.027777778
7	3.991147741
7.1	3.994200244
7.2	3.975885226
7.3	3.936202686
7.4	3.985042735
7.5	3.978937729
7.6	4.006410256
7.7	3.991147741
7.8	3.988095238
7.9	3.957570208
8	3.981990232
8.1	3.985042735
8.2	3.960622711
8.3	4.006410256
8.4	3.997252747
8.5	3.978937729
8.6	4.021672772
8.7	4.012515263
8.8	3.923992674
8.9	3.954517705
9	3.954517705
9.1	3.972832723
9.2	3.975885226
9.3	4.009462759
9.4	3.988095238
9.5	3.988095238
9.6	3.985042735
9.7	3.936202686
9.8	3.972832723
9.9	3.972832723
10	4.009462759
10.1	4.03998779
10.2	3.966727717
10.3	3.963675214
10.4	3.957570208
10.5	3.96978022
10.6	3.954517705
10.7	3.978937729
10.8	3.948412698
10.9	3.991147741
11	3.951465201
11.1	3.963675214
11.2	3.942307692
11.3	3.981990232
11.4	3.988095238
11.5	3.981990232
11.6	3.997252747
11.7	3.942307692
11.8	3.985042735
11.9	3.994200244
12	3.933150183
12.1	3.917887668
12.2	3.975885226
12.3	3.963675214
12.4	3.988095238
12.5	3.991147741
12.6	4.00030525
12.7	3.948412698
12.8	3.905677656
12.9	3.963675214
13	3.905677656
13.1	3.997252747
13.2	3.978937729
13.3	3.963675214
13.4	4.021672772
13.5	4.015567766
13.6	4.009462759
13.7	3.960622711
13.8	3.978937729
13.9	3.991147741
14	3.923992674
14.1	3.933150183
14.2	3.939255189
14.3	3.917887668
14.4	3.963675214
14.5	3.954517705
14.6	3.923992674
14.7	3.975885226
14.8	3.994200244
14.9	3.985042735
15	3.972832723
15.1	3.942307692
15.2	3.981990232
15.3	4.030830281
15.4	3.936202686
15.5	3.972832723
15.6	3.963675214
15.7	3.966727717
15.8	3.96978022
15.9	3.966727717
16	4.003357753
16.1	3.923992674
16.2	4.015567766
16.3	3.957570208
16.4	3.933150183
16.5	3.978937729
16.6	3.939255189
16.7	3.951465201
16.8	3.972832723
16.9	3.978937729
17	4.00030525
17.1	3.93009768
17.2	3.957570208
17.3	3.942307692
17.4	4.015567766
17.5	3.975885226
17.6	4.006410256
17.7	4.061355311
17.8	4.033882784
17.9	4.012515263
18	3.975885226
18.1	3.975885226
18.2	3.988095238
18.3	4.006410256
18.4	3.960622711
18.5	3.957570208
18.6	3.927045177
18.7	3.978937729
18.8	3.948412698
18.9	3.963675214
19	3.957570208
19.1	3.875152625
19.2	3.951465201
19.3	3.936202686
19.4	3.948412698
19.5	3.917887668
19.6	3.905677656
19.7	3.89041514
19.8	3.847680098
19.9	3.847680098
20	3.85989011
20.1	3.862942613
20.2	3.817155067
20.3	3.814102564
20.4	3.792735043
20.5	3.746947497
20.6	3.783577534
20.7	3.786630037
20.8	3.756105006
20.9	3.765262515
21	3.792735043
21.1	3.688949939
21.2	3.594322344
21.3	3.566849817
21.4	3.698107448
21.5	3.692002442
21.6	3.664529915
21.7	3.579059829
21.8	3.469169719
21.9	3.438644689
22	3.566849817
22.1	3.572954823
22.2	3.508852259
22.3	3.545482295
22.4	3.46001221
22.5	3.456959707
22.6	3.374542125
22.7	3.511904762
22.8	3.502747253
22.9	3.46001221
23	3.414224664
23.1	3.316544567
23.2	3.295177045
23.3	3.31959707
23.4	3.429487179
23.5	3.353174603
23.6	3.383699634
23.7	3.31043956
23.8	3.276862027
23.9	3.359279609
24	3.334859585
24.1	3.365384615
24.2	3.228021978
24.3	3.24023199
24.4	3.228021978
24.5	3.295177045
24.6	3.270757021
24.7	3.289072039
24.8	3.267704518
24.9	3.237179487
25	3.179181929
25.1	3.27991453
25.2	3.322649573
25.3	3.359279609
25.4	3.359279609
25.5	3.273809524
25.6	3.313492063
25.7	3.24023199
25.8	3.289072039
25.9	3.374542125
26	3.356227106
26.1	3.365384615
26.2	3.356227106
26.3	3.301282051
26.4	3.344017094
26.5	3.386752137
26.6	3.417277167
26.7	3.463064713
26.8	3.435592186
26.9	3.435592186
27	3.365384615
27.1	3.475274725
27.2	3.481379731
27.3	3.481379731
27.4	3.490537241
27.5	3.484432234
27.6	3.508852259
27.7	3.447802198
27.8	3.542429792
27.9	3.514957265
28	3.563797314
28.1	3.603479853
28.2	3.49969475
28.3	3.554639805
28.4	3.615689866
28.5	3.585164835
28.6	3.67979243
28.7	3.667582418
28.8	3.621794872
28.9	3.685897436
29	3.716422466
29.1	3.658424908
29.2	3.707264957
29.3	3.725579976
29.4	3.777472527
29.5	3.759157509
29.6	3.78968254
29.7	3.78968254
29.8	3.82020757
29.9	3.82020757
30	3.832417582
30.1	3.829365079
30.2	3.844627595
30.3	3.82020757
30.4	3.917887668
30.5	3.841575092
30.6	3.847680098
30.7	3.893467643
30.8	3.89041514
30.9	3.869047619
31	3.893467643
31.1	3.920940171
31.2	3.865995116
31.3	3.951465201
31.4	3.93009768
31.5	3.887362637
31.6	3.902625153
31.7	3.972832723
31.8	3.954517705
31.9	3.991147741
32	3.905677656
32.1	3.887362637
32.2	3.905677656
32.3	3.933150183
32.4	3.93009768
32.5	3.963675214
32.6	4.027777778
32.7	3.908730159
32.8	3.93009768
32.9	4.018620269
33	3.994200244
33.1	3.991147741
