"ï»¿""Latest: Time (s)"""	Latest: Potential (V)
0	4.064407814
0.1	4.003357753
0.2	4.030830281
0.3	4.030830281
0.4	4.058302808
0.5	4.070512821
0.6	4.00030525
0.7	4.00030525
0.8	4.082722833
0.9	3.994200244
1	3.981990232
1.1	4.052197802
1.2	4.058302808
1.3	4.018620269
1.4	4.055250305
1.5	4.043040293
1.6	3.994200244
1.7	3.997252747
1.8	4.052197802
1.9	4.043040293
2	3.994200244
2.1	4.061355311
2.2	4.009462759
2.3	4.021672772
2.4	4.03998779
2.5	4.067460317
2.6	4.055250305
2.7	3.991147741
2.8	4.006410256
2.9	4.030830281
3	4.033882784
3.1	4.043040293
3.2	4.018620269
3.3	4.033882784
3.4	4.030830281
3.5	4.03998779
3.6	4.036935287
3.7	4.043040293
3.8	4.070512821
3.9	4.012515263
4	4.043040293
4.1	4.027777778
4.2	4.015567766
4.3	4.006410256
4.4	4.015567766
4.5	4.003357753
4.6	4.055250305
4.7	4.003357753
4.8	4.012515263
4.9	3.997252747
5	4.018620269
5.1	4.033882784
5.2	4.015567766
5.3	4.018620269
5.4	3.966727717
5.5	4.046092796
5.6	3.985042735
5.7	3.960622711
5.8	4.018620269
5.9	4.003357753
6	4.012515263
6.1	3.957570208
6.2	4.043040293
6.3	4.015567766
6.4	4.021672772
6.5	4.052197802
6.6	4.073565324
6.7	4.085775336
6.8	4.018620269
6.9	4.006410256
7	4.012515263
7.1	4.009462759
7.2	4.064407814
7.3	3.988095238
7.4	4.07967033
7.5	3.997252747
7.6	4.033882784
7.7	4.067460317
7.8	4.015567766
7.9	4.043040293
8	4.033882784
8.1	4.030830281
8.2	4.049145299
8.3	4.021672772
8.4	4.052197802
8.5	4.006410256
8.6	4.058302808
8.7	4.00030525
8.8	3.988095238
8.9	4.052197802
9	4.046092796
9.1	4.082722833
9.2	3.985042735
9.3	4.046092796
9.4	4.018620269
9.5	4.055250305
9.6	4.064407814
9.7	3.975885226
9.8	4.003357753
9.9	4.043040293
10	4.088827839
10.1	4.058302808
10.2	4.021672772
10.3	4.021672772
10.4	4.052197802
10.5	3.972832723
10.6	3.981990232
10.7	4.030830281
10.8	3.954517705
10.9	4.024725275
11	4.049145299
11.1	4.033882784
11.2	4.00030525
11.3	4.058302808
11.4	4.006410256
11.5	4.046092796
11.6	4.064407814
11.7	4.049145299
11.8	4.046092796
11.9	3.994200244
12	4.024725275
12.1	4.064407814
12.2	4.036935287
12.3	3.991147741
12.4	4.030830281
12.5	3.972832723
12.6	3.991147741
12.7	4.03998779
12.8	4.024725275
12.9	4.070512821
13	4.024725275
13.1	4.030830281
13.2	4.033882784
13.3	4.073565324
13.4	3.985042735
13.5	4.009462759
13.6	4.061355311
13.7	4.015567766
13.8	3.951465201
13.9	3.997252747
14	3.997252747
14.1	4.046092796
14.2	3.994200244
14.3	3.997252747
14.4	3.927045177
14.5	3.981990232
14.6	3.991147741
14.7	3.954517705
14.8	3.948412698
14.9	3.954517705
15	3.978937729
15.1	3.954517705
15.2	3.823260073
15.3	3.801892552
15.4	3.807997558
15.5	3.829365079
15.6	3.78968254
15.7	3.93009768
15.8	3.807997558
15.9	3.826312576
16	3.728632479
16.1	3.643162393
16.2	3.478327228
16.3	3.463064713
16.4	3.554639805
16.5	3.508852259
16.6	3.588217338
16.7	3.774420024
16.8	3.707264957
16.9	3.643162393
17	3.508852259
17.1	3.386752137
17.2	3.234126984
17.3	3.115079365
17.4	3.176129426
17.5	3.276862027
17.6	3.49969475
17.7	3.560744811
17.8	3.536324786
17.9	3.514957265
18	3.374542125
18.1	3.234126984
18.2	3.154761905
18.3	3.102869353
18.4	3.084554335
18.5	3.218864469
18.6	3.347069597
18.7	3.582112332
18.8	3.612637363
18.9	3.646214896
19	3.469169719
19.1	3.316544567
19.2	3.270757021
19.3	3.24023199
19.4	3.286019536
19.5	3.31959707
19.6	3.524114774
19.7	3.655372405
19.8	3.734737485
19.9	3.698107448
20	3.637057387
20.1	3.64010989
20.2	3.576007326
20.3	3.585164835
20.4	3.637057387
20.5	3.667582418
20.6	3.728632479
20.7	3.716422466
20.8	3.908730159
20.9	3.841575092
21	3.838522589
21.1	3.817155067
21.2	3.838522589
21.3	3.896520147
21.4	3.850732601
21.5	3.89957265
21.6	3.954517705
21.7	3.914835165
21.8	3.957570208
21.9	3.942307692
22	3.988095238
22.1	3.975885226
22.2	3.975885226
22.3	3.994200244
22.4	3.954517705
22.5	3.975885226
22.6	4.009462759
22.7	3.994200244
22.8	4.003357753
22.9	4.061355311
23	4.07967033
23.1	4.061355311
23.2	4.067460317
23.3	4.012515263
23.4	4.061355311
23.5	4.043040293
23.6	4.030830281
23.7	4.061355311
23.8	4.009462759
23.9	4.088827839
24	4.116300366
24.1	4.030830281
24.2	3.985042735
24.3	4.012515263
24.4	4.073565324
24.5	4.058302808
24.6	4.085775336
24.7	4.064407814
24.8	4.073565324
24.9	4.07967033
25	4.046092796
25.1	4.027777778
25.2	4.088827839
25.3	4.024725275
25.4	4.027777778
25.5	4.055250305
25.6	4.061355311
25.7	4.082722833
25.8	4.055250305
25.9	4.091880342
26	4.085775336
26.1	4.027777778
26.2	4.033882784
26.3	4.088827839
26.4	4.073565324
26.5	4.070512821
26.6	4.043040293
26.7	4.073565324
26.8	4.082722833
26.9	4.073565324
27	4.009462759
27.1	4.03998779
27.2	4.018620269
27.3	4.094932845
27.4	4.094932845
27.5	4.067460317
27.6	4.043040293
27.7	4.073565324
27.8	4.024725275
27.9	4.058302808
28	4.021672772
28.1	3.978937729
28.2	4.024725275
28.3	3.994200244
28.4	4.052197802
28.5	4.058302808
28.6	4.07967033
28.7	4.049145299
28.8	4.094932845
28.9	4.012515263
29	4.073565324
29.1	3.96978022
29.2	3.997252747
29.3	3.985042735
29.4	3.96978022
29.5	3.978937729
29.6	3.96978022
29.7	4.006410256
29.8	4.055250305
29.9	4.052197802
30	3.948412698
30.1	4.018620269
30.2	3.978937729
30.3	3.914835165
30.4	3.936202686
30.5	4.024725275
30.6	4.030830281
30.7	4.003357753
30.8	4.055250305
30.9	4.058302808
31	4.012515263
31.1	4.049145299
31.2	3.978937729
31.3	3.927045177
31.4	4.003357753
31.5	4.058302808
31.6	4.043040293
31.7	4.073565324
31.8	4.015567766
31.9	4.094932845
32	4.006410256
32.1	4.021672772
32.2	3.972832723
32.3	3.96978022
32.4	3.96978022
32.5	4.021672772
32.6	4.03998779
32.7	4.091880342
32.8	4.012515263
32.9	4.058302808
33	4.018620269
33.1	3.997252747
33.2	3.997252747
33.3	4.033882784
33.4	4.012515263
33.5	4.043040293
33.6	4.058302808
33.7	4.101037851
33.8	4.097985348
33.9	4.036935287
34	4.070512821
34.1	4.018620269
34.2	3.981990232
34.3	4.058302808
34.4	4.015567766
34.5	4.012515263
34.6	4.049145299
34.7	4.104090354
34.8	4.052197802
