Latest: Time (s)	Latest: Potential (V)
0	4.055250305
0.1	4.024725275
0.2	4.00030525
0.3	4.043040293
0.4	4.024725275
0.5	4.006410256
0.6	4.043040293
0.7	4.064407814
0.8	4.046092796
0.9	3.988095238
1	4.03998779
1.1	4.070512821
1.2	4.015567766
1.3	4.055250305
1.4	4.021672772
1.5	4.049145299
1.6	4.024725275
1.7	4.033882784
1.8	4.036935287
1.9	4.027777778
2	4.015567766
2.1	4.052197802
2.2	4.043040293
2.3	4.024725275
2.4	3.997252747
2.5	4.070512821
2.6	4.049145299
2.7	4.043040293
2.8	3.991147741
2.9	4.003357753
3	4.018620269
3.1	4.030830281
3.2	4.043040293
3.3	4.015567766
3.4	4.015567766
3.5	3.978937729
3.6	4.070512821
3.7	4.043040293
3.8	4.058302808
3.9	3.981990232
4	4.00030525
4.1	4.012515263
4.2	3.991147741
4.3	3.988095238
4.4	4.030830281
4.5	4.015567766
4.6	3.994200244
4.7	4.012515263
4.8	4.009462759
4.9	4.058302808
5	4.036935287
5.1	4.024725275
5.2	4.03998779
5.3	4.030830281
5.4	4.012515263
5.5	4.046092796
5.6	3.991147741
5.7	3.997252747
5.8	4.012515263
5.9	3.994200244
6	3.978937729
6.1	3.994200244
6.2	4.015567766
6.3	4.012515263
6.4	4.006410256
6.5	4.00030525
6.6	4.021672772
6.7	3.96978022
6.8	4.03998779
6.9	3.988095238
7	4.009462759
7.1	4.006410256
7.2	4.006410256
7.3	3.981990232
7.4	4.055250305
7.5	3.966727717
7.6	4.009462759
7.7	3.991147741
7.8	3.951465201
7.9	3.994200244
8	3.994200244
8.1	4.021672772
8.2	4.00030525
8.3	3.963675214
8.4	3.975885226
8.5	3.923992674
8.6	3.945360195
8.7	3.975885226
8.8	4.061355311
8.9	3.954517705
9	4.012515263
9.1	3.988095238
9.2	3.93009768
9.3	3.939255189
9.4	3.920940171
9.5	4.018620269
9.6	3.991147741
9.7	3.985042735
9.8	4.061355311
9.9	3.991147741
10	3.963675214
10.1	3.978937729
10.2	3.923992674
10.3	3.957570208
10.4	4.009462759
10.5	4.00030525
10.6	3.963675214
10.7	3.93009768
10.8	3.954517705
10.9	3.978937729
11	3.954517705
11.1	3.920940171
11.2	4.018620269
11.3	3.902625153
11.4	4.003357753
11.5	3.997252747
11.6	4.027777778
11.7	3.981990232
11.8	3.957570208
11.9	3.948412698
12	3.96978022
12.1	3.933150183
12.2	4.006410256
12.3	4.003357753
12.4	4.036935287
12.5	3.96978022
12.6	3.933150183
12.7	3.963675214
12.8	3.985042735
12.9	4.00030525
13	3.936202686
13.1	3.911782662
13.2	3.997252747
13.3	3.997252747
13.4	3.978937729
13.5	4.00030525
13.6	4.070512821
13.7	4.033882784
13.8	3.951465201
13.9	3.96978022
14	3.939255189
14.1	4.012515263
14.2	4.036935287
14.3	4.012515263
14.4	3.981990232
14.5	3.963675214
14.6	3.994200244
14.7	3.991147741
14.8	3.985042735
14.9	3.985042735
15	3.920940171
15.1	3.896520147
15.2	3.93009768
15.3	3.936202686
15.4	3.997252747
15.5	3.911782662
15.6	3.981990232
15.7	3.911782662
15.8	4.009462759
15.9	3.896520147
16	3.923992674
16.1	3.936202686
16.2	3.985042735
16.3	4.021672772
16.4	3.966727717
16.5	3.960622711
16.6	3.948412698
16.7	3.988095238
16.8	3.985042735
16.9	3.978937729
17	3.975885226
17.1	4.00030525
17.2	4.033882784
17.3	4.024725275
17.4	4.030830281
17.5	3.991147741
17.6	3.96978022
17.7	3.93009768
17.8	3.985042735
17.9	3.985042735
18	4.033882784
18.1	3.991147741
18.2	4.006410256
18.3	3.945360195
18.4	3.933150183
18.5	3.951465201
18.6	3.96978022
18.7	3.963675214
18.8	4.003357753
18.9	3.954517705
19	3.951465201
19.1	3.905677656
19.2	3.93009768
19.3	3.917887668
19.4	4.015567766
19.5	3.917887668
19.6	3.875152625
19.7	3.844627595
19.8	3.853785104
19.9	3.850732601
20	3.832417582
20.1	3.856837607
20.2	3.792735043
20.3	3.850732601
20.4	3.795787546
20.5	3.753052503
20.6	3.664529915
20.7	3.637057387
20.8	3.676739927
20.9	3.746947497
21	3.777472527
21.1	3.765262515
21.2	3.688949939
21.3	3.60042735
21.4	3.56990232
21.5	3.481379731
21.6	3.533272283
21.7	3.539377289
21.8	3.634004884
21.9	3.634004884
22	3.566849817
22.1	3.487484737
22.2	3.398962149
22.3	3.356227106
22.4	3.466117216
22.5	3.463064713
22.6	3.572954823
22.7	3.621794872
22.8	3.545482295
22.9	3.511904762
23	3.417277167
23.1	3.371489621
23.2	3.414224664
23.3	3.591269841
23.4	3.634004884
23.5	3.585164835
23.6	3.597374847
23.7	3.542429792
23.8	3.511904762
23.9	3.469169719
24	3.588217338
24.1	3.612637363
24.2	3.682844933
24.3	3.728632479
24.4	3.634004884
24.5	3.701159951
24.6	3.685897436
24.7	3.658424908
24.8	3.704212454
24.9	3.682844933
25	3.804945055
25.1	3.82020757
25.2	3.844627595
25.3	3.829365079
25.4	3.716422466
25.5	3.844627595
25.6	3.853785104
25.7	3.872100122
25.8	3.902625153
25.9	3.905677656
26	3.963675214
26.1	3.936202686
26.2	3.936202686
26.3	3.927045177
26.4	3.939255189
26.5	3.988095238
26.6	4.009462759
26.7	3.978937729
26.8	3.942307692
26.9	3.96978022
27	3.963675214
27.1	4.003357753
27.2	4.015567766
27.3	4.076617827
27.4	4.003357753
27.5	3.96978022
27.6	4.024725275
27.7	4.076617827
27.8	4.021672772
27.9	4.033882784
28	4.055250305
28.1	4.003357753
28.2	4.03998779
28.3	4.043040293
28.4	4.033882784
28.5	4.076617827
28.6	4.085775336
28.7	4.015567766
28.8	4.070512821
28.9	4.052197802
29	4.021672772
29.1	4.067460317
29.2	4.030830281
29.3	3.997252747
29.4	4.033882784
29.5	4.046092796
29.6	3.981990232
29.7	4.03998779
29.8	4.116300366
29.9	3.994200244
30	4.03998779
30.1	4.070512821
30.2	4.07967033
30.3	4.052197802
30.4	4.046092796
30.5	4.104090354
30.6	4.058302808
30.7	4.058302808
30.8	4.067460317
30.9	4.00030525
31	4.043040293
31.1	4.070512821
31.2	4.055250305
31.3	4.101037851
31.4	4.043040293
31.5	4.033882784
31.6	3.978937729
31.7	4.061355311
31.8	3.975885226
31.9	4.009462759
32	3.991147741
32.1	4.00030525
