Latest: Time (s)	Latest: Potential (V)
0	4.159035409
0.1	4.226190476
0.2	4.171245421
0.3	4.213980464
0.4	4.174297924
0.5	4.1498779
0.6	4.195665446
0.7	4.186507937
0.8	4.152930403
0.9	4.143772894
1	4.143772894
1.1	4.165140415
1.2	4.162087912
1.3	4.183455433
1.4	4.201770452
1.5	4.134615385
1.6	4.122405372
1.7	4.186507937
1.8	4.18040293
1.9	4.125457875
2	4.198717949
2.1	4.18040293
2.2	4.152930403
2.3	4.18040293
2.4	4.1498779
2.5	4.11019536
2.6	4.125457875
2.7	4.162087912
2.8	4.137667888
2.9	4.198717949
3	4.146825397
3.1	4.165140415
3.2	4.201770452
3.3	4.174297924
3.4	4.094932845
3.5	4.168192918
3.6	4.213980464
3.7	4.128510379
3.8	4.088827839
3.9	4.140720391
4	4.140720391
4.1	4.146825397
4.2	4.094932845
4.3	4.1498779
4.4	4.152930403
4.5	4.113247863
4.6	4.113247863
4.7	4.140720391
4.8	4.113247863
4.9	4.122405372
5	4.155982906
5.1	4.174297924
5.2	4.061355311
5.3	4.091880342
5.4	4.146825397
5.5	4.18956044
5.6	4.201770452
5.7	4.155982906
5.8	4.119352869
5.9	4.082722833
6	4.1498779
6.1	4.134615385
6.2	4.128510379
6.3	4.082722833
6.4	4.03998779
6.5	4.006410256
6.6	4.009462759
6.7	4.006410256
6.8	4.03998779
6.9	4.046092796
7	3.881257631
7.1	3.844627595
7.2	3.737789988
7.3	3.768315018
7.4	3.676739927
7.5	3.783577534
7.6	3.872100122
7.7	3.75
7.8	3.582112332
7.9	3.472222222
8	3.444749695
8.1	3.411172161
8.2	3.395909646
8.3	3.53021978
8.4	3.646214896
8.5	3.405067155
8.6	3.20970696
8.7	3.133394383
8.8	3.087606838
8.9	3.105921856
9	3.304334554
9.1	3.38980464
9.2	3.46001221
9.3	3.215811966
9.4	2.876984127
9.5	2.675518926
9.6	2.696886447
9.7	2.922771673
9.8	3.27991453
9.9	3.432539683
10	3.402014652
10.1	3.035714286
10.2	2.754884005
10.3	2.614468864
10.4	2.712148962
10.5	2.886141636
10.6	3.322649573
10.7	3.432539683
10.8	3.377594628
10.9	3.124236874
11	2.9502442
11.1	2.757936508
11.2	2.828144078
11.3	3.005189255
11.4	3.316544567
11.5	3.475274725
11.6	3.533272283
11.7	3.344017094
11.8	3.255494505
11.9	3.066239316
12	3.127289377
12.1	3.221916972
12.2	3.46001221
12.3	3.511904762
12.4	3.521062271
12.5	3.514957265
12.6	3.484432234
12.7	3.490537241
12.8	3.469169719
12.9	3.630952381
13	3.701159951
13.1	3.692002442
13.2	3.704212454
13.3	3.740842491
13.4	3.673687424
13.5	3.719474969
13.6	3.704212454
13.7	3.85989011
13.8	3.865995116
13.9	3.923992674
14	3.896520147
14.1	3.893467643
14.2	3.884310134
14.3	3.942307692
14.4	3.911782662
14.5	3.985042735
14.6	3.997252747
14.7	4.03998779
14.8	4.070512821
14.9	4.064407814
15	4.03998779
15.1	4.046092796
15.2	4.049145299
15.3	4.052197802
15.4	4.152930403
15.5	4.094932845
15.6	4.131562882
15.7	4.131562882
15.8	4.061355311
15.9	4.055250305
16	4.049145299
16.1	4.073565324
16.2	4.146825397
16.3	4.137667888
16.4	4.146825397
16.5	4.113247863
16.6	4.116300366
16.7	4.137667888
16.8	4.125457875
16.9	4.140720391
17	4.152930403
17.1	4.155982906
17.2	4.091880342
17.3	4.125457875
17.4	4.113247863
17.5	4.159035409
17.6	4.159035409
17.7	4.131562882
17.8	4.134615385
17.9	4.134615385
18	4.116300366
18.1	4.119352869
18.2	4.1498779
